"AreaCode","AreaName","Date","TotalCases"
"S08000030","Tayside","2021-03-20T00:00:00Z","13831"
"S08000028","Western Isles","2021-03-20T00:00:00Z","291"
"S08000015","Ayrshire and Arran","2021-03-19T00:00:00Z","16170"
"S08000016","Borders","2021-03-19T00:00:00Z","2857"
"S08000017","Dumfries and Galloway","2021-03-19T00:00:00Z","4098"
"S08000029","Fife","2021-03-19T00:00:00Z","10478"
"S08000019","Forth Valley","2021-03-19T00:00:00Z","11589"
"S08000020","Grampian","2021-03-19T00:00:00Z","13962"
"S08000031","Greater Glasgow and Clyde","2021-03-19T00:00:00Z","66036"
"S08000022","Highland","2021-03-19T00:00:00Z","4912"
"S08000032","Lanarkshire","2021-03-19T00:00:00Z","38639"
"S08000024","Lothian","2021-03-19T00:00:00Z","29395"
"S08000025","Orkney","2021-03-19T00:00:00Z","70"
"S08000026","Shetland","2021-03-19T00:00:00Z","221"
"S08000030","Tayside","2021-03-19T00:00:00Z","13791"
"S08000028","Western Isles","2021-03-19T00:00:00Z","291"
"S08000015","Ayrshire and Arran","2021-03-18T00:00:00Z","16119"
"S08000016","Borders","2021-03-18T00:00:00Z","2856"
"S08000017","Dumfries and Galloway","2021-03-18T00:00:00Z","4097"
"S08000029","Fife","2021-03-18T00:00:00Z","10438"
"S08000019","Forth Valley","2021-03-18T00:00:00Z","11556"
"S08000020","Grampian","2021-03-18T00:00:00Z","13927"
"S08000031","Greater Glasgow and Clyde","2021-03-18T00:00:00Z","65874"
"S08000022","Highland","2021-03-18T00:00:00Z","4899"
"S08000032","Lanarkshire","2021-03-18T00:00:00Z","38505"
"S08000024","Lothian","2021-03-18T00:00:00Z","29257"
"S08000025","Orkney","2021-03-18T00:00:00Z","70"
"S08000026","Shetland","2021-03-18T00:00:00Z","221"
"S08000030","Tayside","2021-03-18T00:00:00Z","13744"
"S08000028","Western Isles","2021-03-18T00:00:00Z","291"
"S08000015","Ayrshire and Arran","2021-03-17T00:00:00Z","16074"
"S08000016","Borders","2021-03-17T00:00:00Z","2854"
"S08000017","Dumfries and Galloway","2021-03-17T00:00:00Z","4096"
"S08000029","Fife","2021-03-17T00:00:00Z","10393"
"S08000019","Forth Valley","2021-03-17T00:00:00Z","11521"
"S08000020","Grampian","2021-03-17T00:00:00Z","13896"
"S08000031","Greater Glasgow and Clyde","2021-03-17T00:00:00Z","65706"
"S08000022","Highland","2021-03-17T00:00:00Z","4887"
"S08000032","Lanarkshire","2021-03-17T00:00:00Z","38413"
"S08000024","Lothian","2021-03-17T00:00:00Z","29123"
"S08000025","Orkney","2021-03-17T00:00:00Z","70"
"S08000026","Shetland","2021-03-17T00:00:00Z","219"
"S08000030","Tayside","2021-03-17T00:00:00Z","13687"
"S08000028","Western Isles","2021-03-17T00:00:00Z","291"
"S08000015","Ayrshire and Arran","2021-03-16T00:00:00Z","16000"
"S08000016","Borders","2021-03-16T00:00:00Z","2851"
"S08000017","Dumfries and Galloway","2021-03-16T00:00:00Z","4091"
"S08000029","Fife","2021-03-16T00:00:00Z","10343"
"S08000019","Forth Valley","2021-03-16T00:00:00Z","11486"
"S08000020","Grampian","2021-03-16T00:00:00Z","13874"
"S08000031","Greater Glasgow and Clyde","2021-03-16T00:00:00Z","65527"
"S08000022","Highland","2021-03-16T00:00:00Z","4876"
"S08000032","Lanarkshire","2021-03-16T00:00:00Z","38316"
"S08000024","Lothian","2021-03-16T00:00:00Z","29018"
"S08000025","Orkney","2021-03-16T00:00:00Z","70"
"S08000026","Shetland","2021-03-16T00:00:00Z","219"
"S08000030","Tayside","2021-03-16T00:00:00Z","13644"
"S08000028","Western Isles","2021-03-16T00:00:00Z","290"
"S08000015","Ayrshire and Arran","2021-03-15T00:00:00Z","15949"
"S08000016","Borders","2021-03-15T00:00:00Z","2847"
"S08000017","Dumfries and Galloway","2021-03-15T00:00:00Z","4091"
"S08000029","Fife","2021-03-15T00:00:00Z","10295"
"S08000019","Forth Valley","2021-03-15T00:00:00Z","11449"
"S08000020","Grampian","2021-03-15T00:00:00Z","13846"
"S08000031","Greater Glasgow and Clyde","2021-03-15T00:00:00Z","65320"
"S08000022","Highland","2021-03-15T00:00:00Z","4867"
"S08000032","Lanarkshire","2021-03-15T00:00:00Z","38218"
"S08000024","Lothian","2021-03-15T00:00:00Z","28937"
"S08000025","Orkney","2021-03-15T00:00:00Z","70"
"S08000026","Shetland","2021-03-15T00:00:00Z","214"
"S08000030","Tayside","2021-03-15T00:00:00Z","13615"
"S08000028","Western Isles","2021-03-15T00:00:00Z","290"
"S08000015","Ayrshire and Arran","2021-03-14T00:00:00Z","15904"
"S08000016","Borders","2021-03-14T00:00:00Z","2846"
"S08000017","Dumfries and Galloway","2021-03-14T00:00:00Z","4089"
"S08000029","Fife","2021-03-14T00:00:00Z","10266"
"S08000019","Forth Valley","2021-03-14T00:00:00Z","11426"
"S08000020","Grampian","2021-03-14T00:00:00Z","13828"
"S08000031","Greater Glasgow and Clyde","2021-03-14T00:00:00Z","65182"
"S08000022","Highland","2021-03-14T00:00:00Z","4851"
"S08000032","Lanarkshire","2021-03-14T00:00:00Z","38142"
"S08000024","Lothian","2021-03-14T00:00:00Z","28867"
"S08000025","Orkney","2021-03-14T00:00:00Z","70"
"S08000026","Shetland","2021-03-14T00:00:00Z","213"
"S08000030","Tayside","2021-03-14T00:00:00Z","13578"
"S08000028","Western Isles","2021-03-14T00:00:00Z","290"
"S08000015","Ayrshire and Arran","2021-03-13T00:00:00Z","15855"
"S08000016","Borders","2021-03-13T00:00:00Z","2844"
"S08000017","Dumfries and Galloway","2021-03-13T00:00:00Z","4088"
"S08000029","Fife","2021-03-13T00:00:00Z","10227"
"S08000019","Forth Valley","2021-03-13T00:00:00Z","11393"
"S08000020","Grampian","2021-03-13T00:00:00Z","13805"
"S08000031","Greater Glasgow and Clyde","2021-03-13T00:00:00Z","65021"
"S08000022","Highland","2021-03-13T00:00:00Z","4842"
"S08000032","Lanarkshire","2021-03-13T00:00:00Z","38077"
"S08000024","Lothian","2021-03-13T00:00:00Z","28792"
"S08000025","Orkney","2021-03-13T00:00:00Z","70"
"S08000026","Shetland","2021-03-13T00:00:00Z","213"
"S08000030","Tayside","2021-03-13T00:00:00Z","13551"
"S08000028","Western Isles","2021-03-13T00:00:00Z","290"
"S08000015","Ayrshire and Arran","2021-03-12T00:00:00Z","15800"
"S08000016","Borders","2021-03-12T00:00:00Z","2842"
"S08000017","Dumfries and Galloway","2021-03-12T00:00:00Z","4084"
"S08000029","Fife","2021-03-12T00:00:00Z","10185"
"S08000019","Forth Valley","2021-03-12T00:00:00Z","11346"
"S08000020","Grampian","2021-03-12T00:00:00Z","13771"
"S08000031","Greater Glasgow and Clyde","2021-03-12T00:00:00Z","64847"
"S08000022","Highland","2021-03-12T00:00:00Z","4817"
"S08000032","Lanarkshire","2021-03-12T00:00:00Z","37945"
"S08000024","Lothian","2021-03-12T00:00:00Z","28695"
"S08000025","Orkney","2021-03-12T00:00:00Z","70"
"S08000026","Shetland","2021-03-12T00:00:00Z","213"
"S08000030","Tayside","2021-03-12T00:00:00Z","13524"
"S08000028","Western Isles","2021-03-12T00:00:00Z","290"
"S08000015","Ayrshire and Arran","2021-03-11T00:00:00Z","15758"
"S08000016","Borders","2021-03-11T00:00:00Z","2837"
"S08000017","Dumfries and Galloway","2021-03-11T00:00:00Z","4081"
"S08000029","Fife","2021-03-11T00:00:00Z","10142"
"S08000019","Forth Valley","2021-03-11T00:00:00Z","11307"
"S08000020","Grampian","2021-03-11T00:00:00Z","13728"
"S08000031","Greater Glasgow and Clyde","2021-03-11T00:00:00Z","64596"
"S08000022","Highland","2021-03-11T00:00:00Z","4793"
"S08000032","Lanarkshire","2021-03-11T00:00:00Z","37840"
"S08000024","Lothian","2021-03-11T00:00:00Z","28602"
"S08000025","Orkney","2021-03-11T00:00:00Z","70"
"S08000026","Shetland","2021-03-11T00:00:00Z","213"
"S08000030","Tayside","2021-03-11T00:00:00Z","13490"
"S08000028","Western Isles","2021-03-11T00:00:00Z","290"
"S08000015","Ayrshire and Arran","2021-03-10T00:00:00Z","15707"
"S08000016","Borders","2021-03-10T00:00:00Z","2837"
"S08000017","Dumfries and Galloway","2021-03-10T00:00:00Z","4074"
"S08000029","Fife","2021-03-10T00:00:00Z","10105"
"S08000019","Forth Valley","2021-03-10T00:00:00Z","11251"
"S08000020","Grampian","2021-03-10T00:00:00Z","13687"
"S08000031","Greater Glasgow and Clyde","2021-03-10T00:00:00Z","64413"
"S08000022","Highland","2021-03-10T00:00:00Z","4785"
"S08000032","Lanarkshire","2021-03-10T00:00:00Z","37738"
"S08000024","Lothian","2021-03-10T00:00:00Z","28529"
"S08000025","Orkney","2021-03-10T00:00:00Z","70"
"S08000026","Shetland","2021-03-10T00:00:00Z","213"
"S08000030","Tayside","2021-03-10T00:00:00Z","13457"
"S08000028","Western Isles","2021-03-10T00:00:00Z","290"
"S08000015","Ayrshire and Arran","2021-03-09T00:00:00Z","15624"
"S08000016","Borders","2021-03-09T00:00:00Z","2835"
"S08000017","Dumfries and Galloway","2021-03-09T00:00:00Z","4069"
"S08000029","Fife","2021-03-09T00:00:00Z","10068"
"S08000019","Forth Valley","2021-03-09T00:00:00Z","11191"
"S08000020","Grampian","2021-03-09T00:00:00Z","13657"
"S08000031","Greater Glasgow and Clyde","2021-03-09T00:00:00Z","64181"
"S08000022","Highland","2021-03-09T00:00:00Z","4770"
"S08000032","Lanarkshire","2021-03-09T00:00:00Z","37636"
"S08000024","Lothian","2021-03-09T00:00:00Z","28433"
"S08000025","Orkney","2021-03-09T00:00:00Z","70"
"S08000026","Shetland","2021-03-09T00:00:00Z","213"
"S08000030","Tayside","2021-03-09T00:00:00Z","13429"
"S08000028","Western Isles","2021-03-09T00:00:00Z","289"
"S08000015","Ayrshire and Arran","2021-03-08T00:00:00Z","15598"
"S08000016","Borders","2021-03-08T00:00:00Z","2833"
"S08000017","Dumfries and Galloway","2021-03-08T00:00:00Z","4061"
"S08000029","Fife","2021-03-08T00:00:00Z","10044"
"S08000019","Forth Valley","2021-03-08T00:00:00Z","11139"
"S08000020","Grampian","2021-03-08T00:00:00Z","13640"
"S08000031","Greater Glasgow and Clyde","2021-03-08T00:00:00Z","64027"
"S08000022","Highland","2021-03-08T00:00:00Z","4752"
"S08000032","Lanarkshire","2021-03-08T00:00:00Z","37555"
"S08000024","Lothian","2021-03-08T00:00:00Z","28371"
"S08000025","Orkney","2021-03-08T00:00:00Z","70"
"S08000026","Shetland","2021-03-08T00:00:00Z","213"
"S08000030","Tayside","2021-03-08T00:00:00Z","13408"
"S08000028","Western Isles","2021-03-08T00:00:00Z","288"
"S08000015","Ayrshire and Arran","2021-03-07T00:00:00Z","15561"
"S08000016","Borders","2021-03-07T00:00:00Z","2827"
"S08000017","Dumfries and Galloway","2021-03-07T00:00:00Z","4060"
"S08000029","Fife","2021-03-07T00:00:00Z","10003"
"S08000019","Forth Valley","2021-03-07T00:00:00Z","11092"
"S08000020","Grampian","2021-03-07T00:00:00Z","13615"
"S08000031","Greater Glasgow and Clyde","2021-03-07T00:00:00Z","63889"
"S08000022","Highland","2021-03-07T00:00:00Z","4738"
"S08000032","Lanarkshire","2021-03-07T00:00:00Z","37456"
"S08000024","Lothian","2021-03-07T00:00:00Z","28304"
"S08000025","Orkney","2021-03-07T00:00:00Z","70"
"S08000026","Shetland","2021-03-07T00:00:00Z","213"
"S08000030","Tayside","2021-03-07T00:00:00Z","13382"
"S08000028","Western Isles","2021-03-07T00:00:00Z","288"
"S08000015","Ayrshire and Arran","2021-03-06T00:00:00Z","15537"
"S08000016","Borders","2021-03-06T00:00:00Z","2824"
"S08000017","Dumfries and Galloway","2021-03-06T00:00:00Z","4056"
"S08000029","Fife","2021-03-06T00:00:00Z","9995"
"S08000019","Forth Valley","2021-03-06T00:00:00Z","11036"
"S08000020","Grampian","2021-03-06T00:00:00Z","13586"
"S08000031","Greater Glasgow and Clyde","2021-03-06T00:00:00Z","63785"
"S08000022","Highland","2021-03-06T00:00:00Z","4726"
"S08000032","Lanarkshire","2021-03-06T00:00:00Z","37395"
"S08000024","Lothian","2021-03-06T00:00:00Z","28241"
"S08000025","Orkney","2021-03-06T00:00:00Z","70"
"S08000026","Shetland","2021-03-06T00:00:00Z","213"
"S08000030","Tayside","2021-03-06T00:00:00Z","13359"
"S08000028","Western Isles","2021-03-06T00:00:00Z","285"
"S08000015","Ayrshire and Arran","2021-03-05T00:00:00Z","15505"
"S08000016","Borders","2021-03-05T00:00:00Z","2820"
"S08000017","Dumfries and Galloway","2021-03-05T00:00:00Z","4052"
"S08000029","Fife","2021-03-05T00:00:00Z","9947"
"S08000019","Forth Valley","2021-03-05T00:00:00Z","10987"
"S08000020","Grampian","2021-03-05T00:00:00Z","13560"
"S08000031","Greater Glasgow and Clyde","2021-03-05T00:00:00Z","63619"
"S08000022","Highland","2021-03-05T00:00:00Z","4717"
"S08000032","Lanarkshire","2021-03-05T00:00:00Z","37304"
"S08000024","Lothian","2021-03-05T00:00:00Z","28169"
"S08000025","Orkney","2021-03-05T00:00:00Z","70"
"S08000026","Shetland","2021-03-05T00:00:00Z","213"
"S08000030","Tayside","2021-03-05T00:00:00Z","13313"
"S08000028","Western Isles","2021-03-05T00:00:00Z","277"
"S08000015","Ayrshire and Arran","2021-03-04T00:00:00Z","15481"
"S08000016","Borders","2021-03-04T00:00:00Z","2816"
"S08000017","Dumfries and Galloway","2021-03-04T00:00:00Z","4048"
"S08000029","Fife","2021-03-04T00:00:00Z","9936"
"S08000019","Forth Valley","2021-03-04T00:00:00Z","10942"
"S08000020","Grampian","2021-03-04T00:00:00Z","13540"
"S08000031","Greater Glasgow and Clyde","2021-03-04T00:00:00Z","63462"
"S08000022","Highland","2021-03-04T00:00:00Z","4704"
"S08000032","Lanarkshire","2021-03-04T00:00:00Z","37197"
"S08000024","Lothian","2021-03-04T00:00:00Z","28096"
"S08000025","Orkney","2021-03-04T00:00:00Z","70"
"S08000026","Shetland","2021-03-04T00:00:00Z","213"
"S08000030","Tayside","2021-03-04T00:00:00Z","13276"
"S08000028","Western Isles","2021-03-04T00:00:00Z","274"
"S08000015","Ayrshire and Arran","2021-03-03T00:00:00Z","15449"
"S08000016","Borders","2021-03-03T00:00:00Z","2813"
"S08000017","Dumfries and Galloway","2021-03-03T00:00:00Z","4045"
"S08000029","Fife","2021-03-03T00:00:00Z","9914"
"S08000019","Forth Valley","2021-03-03T00:00:00Z","10884"
"S08000020","Grampian","2021-03-03T00:00:00Z","13517"
"S08000031","Greater Glasgow and Clyde","2021-03-03T00:00:00Z","63316"
"S08000022","Highland","2021-03-03T00:00:00Z","4682"
"S08000032","Lanarkshire","2021-03-03T00:00:00Z","37110"
"S08000024","Lothian","2021-03-03T00:00:00Z","28025"
"S08000025","Orkney","2021-03-03T00:00:00Z","70"
"S08000026","Shetland","2021-03-03T00:00:00Z","212"
"S08000030","Tayside","2021-03-03T00:00:00Z","13246"
"S08000028","Western Isles","2021-03-03T00:00:00Z","272"
"S08000015","Ayrshire and Arran","2021-03-02T00:00:00Z","15400"
"S08000016","Borders","2021-03-02T00:00:00Z","2810"
"S08000017","Dumfries and Galloway","2021-03-02T00:00:00Z","4043"
"S08000029","Fife","2021-03-02T00:00:00Z","9891"
"S08000019","Forth Valley","2021-03-02T00:00:00Z","10814"
"S08000020","Grampian","2021-03-02T00:00:00Z","13488"
"S08000031","Greater Glasgow and Clyde","2021-03-02T00:00:00Z","63166"
"S08000022","Highland","2021-03-02T00:00:00Z","4673"
"S08000032","Lanarkshire","2021-03-02T00:00:00Z","37008"
"S08000024","Lothian","2021-03-02T00:00:00Z","27948"
"S08000025","Orkney","2021-03-02T00:00:00Z","70"
"S08000026","Shetland","2021-03-02T00:00:00Z","212"
"S08000030","Tayside","2021-03-02T00:00:00Z","13217"
"S08000028","Western Isles","2021-03-02T00:00:00Z","272"
"S08000015","Ayrshire and Arran","2021-03-01T00:00:00Z","15376"
"S08000016","Borders","2021-03-01T00:00:00Z","2807"
"S08000017","Dumfries and Galloway","2021-03-01T00:00:00Z","4040"
"S08000029","Fife","2021-03-01T00:00:00Z","9876"
"S08000019","Forth Valley","2021-03-01T00:00:00Z","10740"
"S08000020","Grampian","2021-03-01T00:00:00Z","13476"
"S08000031","Greater Glasgow and Clyde","2021-03-01T00:00:00Z","63008"
"S08000022","Highland","2021-03-01T00:00:00Z","4655"
"S08000032","Lanarkshire","2021-03-01T00:00:00Z","36907"
"S08000024","Lothian","2021-03-01T00:00:00Z","27844"
"S08000025","Orkney","2021-03-01T00:00:00Z","70"
"S08000026","Shetland","2021-03-01T00:00:00Z","212"
"S08000030","Tayside","2021-03-01T00:00:00Z","13188"
"S08000028","Western Isles","2021-03-01T00:00:00Z","271"
"S08000015","Ayrshire and Arran","2021-02-28T00:00:00Z","15346"
"S08000016","Borders","2021-02-28T00:00:00Z","2804"
"S08000017","Dumfries and Galloway","2021-02-28T00:00:00Z","4036"
"S08000029","Fife","2021-02-28T00:00:00Z","9859"
"S08000019","Forth Valley","2021-02-28T00:00:00Z","10701"
"S08000020","Grampian","2021-02-28T00:00:00Z","13463"
"S08000031","Greater Glasgow and Clyde","2021-02-28T00:00:00Z","62885"
"S08000022","Highland","2021-02-28T00:00:00Z","4641"
