"AreaCode","AreaName","Date","TotalCases"
"S08000015","Ayrshire and Arran","2021-03-31T00:00:00Z","16524"
"S08000016","Borders","2021-03-31T00:00:00Z","2871"
"S08000017","Dumfries and Galloway","2021-03-31T00:00:00Z","4137"
"S08000029","Fife","2021-03-31T00:00:00Z","10799"
"S08000019","Forth Valley","2021-03-31T00:00:00Z","12074"
"S08000020","Grampian","2021-03-31T00:00:00Z","14374"
"S08000031","Greater Glasgow and Clyde","2021-03-31T00:00:00Z","67712"
"S08000022","Highland","2021-03-31T00:00:00Z","4972"
"S08000032","Lanarkshire","2021-03-31T00:00:00Z","39757"
"S08000024","Lothian","2021-03-31T00:00:00Z","30402"
"S08000025","Orkney","2021-03-31T00:00:00Z","71"
"S08000026","Shetland","2021-03-31T00:00:00Z","232"
"S08000030","Tayside","2021-03-31T00:00:00Z","14213"
"S08000028","Western Isles","2021-03-31T00:00:00Z","294"
"S08000015","Ayrshire and Arran","2021-03-30T00:00:00Z","16483"
"S08000016","Borders","2021-03-30T00:00:00Z","2870"
"S08000017","Dumfries and Galloway","2021-03-30T00:00:00Z","4136"
"S08000029","Fife","2021-03-30T00:00:00Z","10773"
"S08000019","Forth Valley","2021-03-30T00:00:00Z","11999"
"S08000020","Grampian","2021-03-30T00:00:00Z","14326"
"S08000031","Greater Glasgow and Clyde","2021-03-30T00:00:00Z","67576"
"S08000022","Highland","2021-03-30T00:00:00Z","4968"
"S08000032","Lanarkshire","2021-03-30T00:00:00Z","39659"
"S08000024","Lothian","2021-03-30T00:00:00Z","30329"
"S08000025","Orkney","2021-03-30T00:00:00Z","71"
"S08000026","Shetland","2021-03-30T00:00:00Z","231"
"S08000030","Tayside","2021-03-30T00:00:00Z","14175"
"S08000028","Western Isles","2021-03-30T00:00:00Z","294"
"S08000015","Ayrshire and Arran","2021-03-29T00:00:00Z","16461"
"S08000016","Borders","2021-03-29T00:00:00Z","2870"
"S08000017","Dumfries and Galloway","2021-03-29T00:00:00Z","4134"
"S08000029","Fife","2021-03-29T00:00:00Z","10751"
"S08000019","Forth Valley","2021-03-29T00:00:00Z","11954"
"S08000020","Grampian","2021-03-29T00:00:00Z","14313"
"S08000031","Greater Glasgow and Clyde","2021-03-29T00:00:00Z","67484"
"S08000022","Highland","2021-03-29T00:00:00Z","4961"
"S08000032","Lanarkshire","2021-03-29T00:00:00Z","39581"
"S08000024","Lothian","2021-03-29T00:00:00Z","30220"
"S08000025","Orkney","2021-03-29T00:00:00Z","71"
"S08000026","Shetland","2021-03-29T00:00:00Z","231"
"S08000030","Tayside","2021-03-29T00:00:00Z","14154"
"S08000028","Western Isles","2021-03-29T00:00:00Z","294"
"S08000015","Ayrshire and Arran","2021-03-28T00:00:00Z","16439"
"S08000016","Borders","2021-03-28T00:00:00Z","2867"
"S08000017","Dumfries and Galloway","2021-03-28T00:00:00Z","4134"
"S08000029","Fife","2021-03-28T00:00:00Z","10730"
"S08000019","Forth Valley","2021-03-28T00:00:00Z","11913"
"S08000020","Grampian","2021-03-28T00:00:00Z","14284"
"S08000031","Greater Glasgow and Clyde","2021-03-28T00:00:00Z","67383"
"S08000022","Highland","2021-03-28T00:00:00Z","4959"
"S08000032","Lanarkshire","2021-03-28T00:00:00Z","39513"
"S08000024","Lothian","2021-03-28T00:00:00Z","30176"
"S08000025","Orkney","2021-03-28T00:00:00Z","71"
"S08000026","Shetland","2021-03-28T00:00:00Z","231"
"S08000030","Tayside","2021-03-28T00:00:00Z","14133"
"S08000028","Western Isles","2021-03-28T00:00:00Z","294"
"S08000015","Ayrshire and Arran","2021-03-27T00:00:00Z","16404"
"S08000016","Borders","2021-03-27T00:00:00Z","2866"
"S08000017","Dumfries and Galloway","2021-03-27T00:00:00Z","4134"
"S08000029","Fife","2021-03-27T00:00:00Z","10710"
"S08000019","Forth Valley","2021-03-27T00:00:00Z","11872"
"S08000020","Grampian","2021-03-27T00:00:00Z","14269"
"S08000031","Greater Glasgow and Clyde","2021-03-27T00:00:00Z","67276"
"S08000022","Highland","2021-03-27T00:00:00Z","4958"
"S08000032","Lanarkshire","2021-03-27T00:00:00Z","39432"
"S08000024","Lothian","2021-03-27T00:00:00Z","30095"
"S08000025","Orkney","2021-03-27T00:00:00Z","71"
"S08000026","Shetland","2021-03-27T00:00:00Z","230"
"S08000030","Tayside","2021-03-27T00:00:00Z","14094"
"S08000028","Western Isles","2021-03-27T00:00:00Z","294"
"S08000015","Ayrshire and Arran","2021-03-26T00:00:00Z","16376"
"S08000016","Borders","2021-03-26T00:00:00Z","2863"
"S08000017","Dumfries and Galloway","2021-03-26T00:00:00Z","4130"
"S08000029","Fife","2021-03-26T00:00:00Z","10681"
"S08000019","Forth Valley","2021-03-26T00:00:00Z","11823"
"S08000020","Grampian","2021-03-26T00:00:00Z","14224"
"S08000031","Greater Glasgow and Clyde","2021-03-26T00:00:00Z","67119"
"S08000022","Highland","2021-03-26T00:00:00Z","4954"
"S08000032","Lanarkshire","2021-03-26T00:00:00Z","39332"
"S08000024","Lothian","2021-03-26T00:00:00Z","29976"
"S08000025","Orkney","2021-03-26T00:00:00Z","71"
"S08000026","Shetland","2021-03-26T00:00:00Z","230"
"S08000030","Tayside","2021-03-26T00:00:00Z","14069"
"S08000028","Western Isles","2021-03-26T00:00:00Z","294"
"S08000015","Ayrshire and Arran","2021-03-25T00:00:00Z","16344"
"S08000016","Borders","2021-03-25T00:00:00Z","2859"
"S08000017","Dumfries and Galloway","2021-03-25T00:00:00Z","4129"
"S08000029","Fife","2021-03-25T00:00:00Z","10654"
"S08000019","Forth Valley","2021-03-25T00:00:00Z","11794"
"S08000020","Grampian","2021-03-25T00:00:00Z","14181"
"S08000031","Greater Glasgow and Clyde","2021-03-25T00:00:00Z","66950"
"S08000022","Highland","2021-03-25T00:00:00Z","4952"
"S08000032","Lanarkshire","2021-03-25T00:00:00Z","39223"
"S08000024","Lothian","2021-03-25T00:00:00Z","29882"
"S08000025","Orkney","2021-03-25T00:00:00Z","71"
"S08000026","Shetland","2021-03-25T00:00:00Z","230"
"S08000030","Tayside","2021-03-25T00:00:00Z","14036"
"S08000028","Western Isles","2021-03-25T00:00:00Z","294"
"S08000015","Ayrshire and Arran","2021-03-24T00:00:00Z","16306"
"S08000016","Borders","2021-03-24T00:00:00Z","2857"
"S08000017","Dumfries and Galloway","2021-03-24T00:00:00Z","4125"
"S08000029","Fife","2021-03-24T00:00:00Z","10628"
"S08000019","Forth Valley","2021-03-24T00:00:00Z","11763"
"S08000020","Grampian","2021-03-24T00:00:00Z","14125"
"S08000031","Greater Glasgow and Clyde","2021-03-24T00:00:00Z","66773"
"S08000022","Highland","2021-03-24T00:00:00Z","4940"
"S08000032","Lanarkshire","2021-03-24T00:00:00Z","39082"
"S08000024","Lothian","2021-03-24T00:00:00Z","29902"
"S08000025","Orkney","2021-03-24T00:00:00Z","71"
"S08000026","Shetland","2021-03-24T00:00:00Z","229"
"S08000030","Tayside","2021-03-24T00:00:00Z","13980"
"S08000028","Western Isles","2021-03-24T00:00:00Z","294"
"S08000015","Ayrshire and Arran","2021-03-23T00:00:00Z","16283"
"S08000016","Borders","2021-03-23T00:00:00Z","2857"
"S08000017","Dumfries and Galloway","2021-03-23T00:00:00Z","4116"
"S08000029","Fife","2021-03-23T00:00:00Z","10594"
"S08000019","Forth Valley","2021-03-23T00:00:00Z","11704"
"S08000020","Grampian","2021-03-23T00:00:00Z","14071"
"S08000031","Greater Glasgow and Clyde","2021-03-23T00:00:00Z","66586"
"S08000022","Highland","2021-03-23T00:00:00Z","4936"
"S08000032","Lanarkshire","2021-03-23T00:00:00Z","38974"
"S08000024","Lothian","2021-03-23T00:00:00Z","29737"
"S08000025","Orkney","2021-03-23T00:00:00Z","71"
"S08000026","Shetland","2021-03-23T00:00:00Z","229"
"S08000030","Tayside","2021-03-23T00:00:00Z","13931"
"S08000028","Western Isles","2021-03-23T00:00:00Z","294"
"S08000015","Ayrshire and Arran","2021-03-22T00:00:00Z","16253"
"S08000016","Borders","2021-03-22T00:00:00Z","2857"
"S08000017","Dumfries and Galloway","2021-03-22T00:00:00Z","4106"
"S08000029","Fife","2021-03-22T00:00:00Z","10563"
"S08000019","Forth Valley","2021-03-22T00:00:00Z","11684"
"S08000020","Grampian","2021-03-22T00:00:00Z","14043"
"S08000031","Greater Glasgow and Clyde","2021-03-22T00:00:00Z","66443"
"S08000022","Highland","2021-03-22T00:00:00Z","4930"
"S08000032","Lanarkshire","2021-03-22T00:00:00Z","38872"
"S08000024","Lothian","2021-03-22T00:00:00Z","29630"
"S08000025","Orkney","2021-03-22T00:00:00Z","71"
"S08000026","Shetland","2021-03-22T00:00:00Z","224"
"S08000030","Tayside","2021-03-22T00:00:00Z","13918"
"S08000028","Western Isles","2021-03-22T00:00:00Z","294"
"S08000015","Ayrshire and Arran","2021-03-21T00:00:00Z","16232"
"S08000016","Borders","2021-03-21T00:00:00Z","2857"
"S08000017","Dumfries and Galloway","2021-03-21T00:00:00Z","4105"
"S08000029","Fife","2021-03-21T00:00:00Z","10544"
"S08000019","Forth Valley","2021-03-21T00:00:00Z","11657"
"S08000020","Grampian","2021-03-21T00:00:00Z","14018"
"S08000031","Greater Glasgow and Clyde","2021-03-21T00:00:00Z","66308"
"S08000022","Highland","2021-03-21T00:00:00Z","4926"
"S08000032","Lanarkshire","2021-03-21T00:00:00Z","38818"
"S08000024","Lothian","2021-03-21T00:00:00Z","29584"
"S08000025","Orkney","2021-03-21T00:00:00Z","71"
"S08000026","Shetland","2021-03-21T00:00:00Z","224"
"S08000030","Tayside","2021-03-21T00:00:00Z","13894"
"S08000028","Western Isles","2021-03-21T00:00:00Z","291"
"S08000015","Ayrshire and Arran","2021-03-20T00:00:00Z","16203"
"S08000016","Borders","2021-03-20T00:00:00Z","2857"
"S08000017","Dumfries and Galloway","2021-03-20T00:00:00Z","4100"
"S08000029","Fife","2021-03-20T00:00:00Z","10518"
"S08000019","Forth Valley","2021-03-20T00:00:00Z","11625"
"S08000020","Grampian","2021-03-20T00:00:00Z","13993"
"S08000031","Greater Glasgow and Clyde","2021-03-20T00:00:00Z","66167"
"S08000022","Highland","2021-03-20T00:00:00Z","4922"
"S08000032","Lanarkshire","2021-03-20T00:00:00Z","38716"
"S08000024","Lothian","2021-03-20T00:00:00Z","29480"
"S08000025","Orkney","2021-03-20T00:00:00Z","70"
"S08000026","Shetland","2021-03-20T00:00:00Z","224"
